descriptor,count
hazelnut roasted hazelnut,10
thyme,10
cologne,10
medicine,10
soap,10
papaya,9
acrylate,9
apple skin,9
honeysuckle,9
watermelon,9
fish,9
labdanum,9
clover,9
wine,9
tangerine,9
kiwi,9
peanut roasted peanut,9
cassia,8
wet,8
leaf,8
castoreum,8
butter,8
ammonia,8
cedarwood,8
cilantro,8
myrrh,8
tomato leaf,8
guaiacol,8
peely,8
goaty,8
sugar burnt sugar,8
tart,8
dill,8
chicken fat,8
truffle,8
sulfury,8
sugar brown sugar,8
woody old wood,8
rubber,8
smoke,8
sawdust,7
nutmeg,7
raisin,7
honeydew,7
bubble gum,7
civet,7
blackberry,7
storax,7
watercress,7
costus,7
baked,7
moldy,7
soft,7
wasabi,7
custard,7
saffron,7
fruit overripe fruit,7
cereal,7
coriander,7
pork,7
meat,7
phenol,7
cherry maraschino cherry,6
acacia,6
root beer,6
sassafrass,6
cranberry,6
potato raw potato,6
seafood,6
fresh outdoors,6
sage,6
pea green pea,6
bean green bean,6
carrot,6
dewy,6
seashore,6
cypress,6
fenugreek,6
potato baked potato,6
almost odorless,6
lamb,6
barley roasted barley,6
cantaloupe,6
opoponax,6
cheese,6
prune,5
juicy fruit,5
rose tea rose,5
reseda,5
lemon peel,5
grape skin,5
acetone,5
beefy roasted beefy,5
lemongrass,5
citronella,5
skunk,5
mutton,5
bread baked,5
ginger,5
cardamom,5
citrus peel,5
fleshy,5
acorn,5
guava,5
peanut butter,5
strong,5
parsley,5
rue,5
scallion,5
sweet pea,5
fig,5
gooseberry,5
butterscotch,5
lovage,5
painty,5
grass,5
resin,5
malt,5
valerian root,4
licorice black licorice,4
leek,4
verbena,4
grapefruit peel,4
banana peel,4
vinegar,4
buttermilk,4
cool,4
citrus rind,4
menthol,4
asparagus,4
molasses,4
shellfish,4
ham,4
cashew,4
pulpy,4
pear skin,4
cananga,4
broccoli,4
gourmand,4
paper,4
petroleum,4
chicken coup,4
algae,4
forest,4
grilled,4
grain toasted grain,4
soup,4
banana ripe banana,4
allspice,4
almond roasted almond,4
guaiacwood,4
tagette,4
blossom,4
durian,4
autumn,4
lettuce,4
moss,4
nitromusk,4
cream,4
roasted meat,4
clam,3
deep,3
rose dried rose,3
amine,3
shrimp,3
taco,3
lard,3
slight,3
mahogany,3
rich,3
apple cooked apple,3
heavy,3
linden flower,3
graham cracker,3
beef juice,3
beeswax,3
hay new mown hay,3
pumpkin,3
pepper black pepper,3
tarragon,3
potato chip,3
tea green tea,3
bread crust,3
freesia,3
hairy,3
grain,3
nut flesh,3
juniper,3
cookie,3
liver,3
powerful,3
cider,3
cardboard,3
urine,3
coumarin,3
lactone,3
roasted nut,3
apple peel,3
cooked meat,3
chocolate dark chocolate,2
loganberry,2
egg nog,2
watermelon rind,2
lychee,2
fruit ripe fruit,2
quince,2
cheesy parmesan cheese,2
cheesy bleu cheese,2
marzipan,2
rotten,2
arrack,2
straw,2
toffee,2
praline,2
turnup,2
oriental,2
immortelle,2
vinyl,2
caprylic,2
agarwood,2
salty,2
bloody,2
pleasant,2
elderflower,2
thujone,2
woody burnt wood,2
bouillon,2
cistus,2
astringent,2
wild,2
hydrocarbon,2
methyl,2
citral,2
cucumber skin,2
filbert,2
sausage smoked sausage,2
angelica,2
spruce,2
cotton,2
nitrile,2
citric,2
artichoke,2
peel,2
linalool,2
davana,2
cauliflower,2
tequila,2
sappy,2
orange bitter orange,2
bread rye bread,2
plum skin,2
tar,2
elderberry,2
terpene,2
burnt sugar,2
mothball,2
paint,2
roast beef,2
dust,2
cooked potato,2
thiamin,2
box tree,2
meat broth,2
cat,2
skin,1
ocean,1
rosy,1
pastry,1
osmanthus,1
absolute,1
dried,1
cassie,1
tea black tea,1
cresol,1
palmarosa,1
medical,1
chloroform,1
rotting,1
dead,1
orange rind,1
spinach,1
creosote,1
frankincense,1
cheesy roquefort cheese,1
benzoin,1
styrene,1
egg yolk,1
red,1
styrax,1
mignonette,1
pyridine,1
acetaldehyde,1
genet,1
sauerkraut,1
kimchi,1
cheesy feta cheese,1
bay,1
diffuse,1
turkey,1
pistachio,1
jackfruit,1
lilial,1
sarsaparilla,1
butter rancid,1
salmon,1
pyrazine,1
marjoram,1
ethyl,1
benzoate,1
harsh,1
cacao,1
dull,1
armoise,1
berry ripe berry,1
bud,1
chicken roasted chicken,1
dihydrojasmonate,1
mouldy,1
carrot seed,1
light,1
thiamine,1
boronia,1
hesperidic,1
wormwood,1
cheesy limburger cheese,1
terpentine,1
absinthe,1
zesty,1
almond toasted almond,1
linden,1
may,1
borneol,1
cornmint,1
jam,1
chlorine,1
chavicol,1
citralva,1
starfruit,1
worty,1
needle,1
characteristic,1
indole,1
vegetables,1
impacting,1
mace,1
yogurt,1
old,1
fragrant,1
gravy,1
liquid,1
evil,1
smelling,1
nerol,1
oxide,1
elemi,1
shell,1
carvone,1
date,1
dank,1
sandy,1
chicory,1
woody lactone,1
chervil,1
melon unripe melon,1
tolu balsam,1
pomegranate,1
kernel,1
boiled,1
beef,1
egg,1
bois,1
de,1
privetblossom,1
apple dried apple,1
rindy,1
charred,1
new mown hay,1
iodine,1
sassafras,1
naphtha,1
coal,1
benzaldehyde,1
mercaptan,1
capers,1
flat,1
umami,1
plowed,1
freshly,1
soil,1
methyl heptine carbonate,1
catechu,1
bonbon,1
grapfruit,1
citronellal,1
verdox,1
needles,1
concord grape,1
rosey,1
stalk,1
nice,1
damascone,1
muttony,1
goats,1
milk,1
cellar,1
curry,1
hawthorne,1
alcohol,1
soy,1
camomile,1
bitter almond,1
boiled vegetable,1
yeast,1
mold,1
foxy,1
putrid,1
hot milk,1
pesticide,1
cooked vegetable,1
green bean,1
ester,1
brown sugar,1
tart lime,1
beet,1
alkaline,1
green pepper,1
pea,1
mildew,1
almond shell,1
marshmallow,1
hummus,1
wet cloth,1
biscuit,1
crushed bug,1
apple rose,1
green leaf,1
green tea,1
