,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
09/08/2026 11:32:32,10.94,4.69,6.25,3.12,1.56,6.25,29.69,21.88,3.12,20,21.88,26.98,13.03,29.69,12.5127935,3253,446,1797,237.5,18,0.7098453,1.34375,1555,99,18,0.2328743,1.34375,4042,120.5,40.5,0.251533121,1.34375,4042,986.5,40.5,3.52490973,1.34375,4042,485.5,40.5,1.53732252,1.34375,4042,744,40.5,2.43556476,1.34375,74.37501,1.55,1.55,99.80922
09/08/2026 11:32:34,17.19,7.69,6.25,3.12,3.08,14.06,17.19,9.38,1.56,25,12.5,20.31,11.44,25,12.6954756,3698,447,1976,307,19.8,0.871841848,1.35625,4042,193,40.5,0.557067752,1.3625,4042,349,40.5,1.050655,1.3625,4042,465.5,40.5,1.63092756,1.3625,4042,619.5,40.5,2.04359651,1.3625,4042,750,40.5,2.5744307,1.3625,74.12501,1.55,1.55,99.809166
09/08/2026 11:32:36,6.25,6.25,12.5,0,0,6.25,9.38,0,1.56,15.62,23.44,48.44,10.81,48.44,12.7036715,2479,444,1397,210,14,0.534621835,1.33125,1797,293,18,0.897318363,1.3375,4042,113.5,40.5,0.234081715,1.3375,1797,192.5,18,0.614246368,1.3375,1797,390.5,18,1.2676543,1.3375,4042,1466.5,40.5,5.182499,1.3375,74.37501,1.55,1.55,99.80922
09/08/2026 11:32:38,12.31,0,18.46,0,3.17,21.54,40,0,6.15,15.38,24.62,4.76,12.2,40,12.9549122,2920,454,4042,159,40.5,0.400436282,1.36875,1797,270,18,0.8265617,1.36875,1797,414,18,1.3058418,1.36875,4042,846,40.5,3.01878953,1.36875,1797,426.5,18,1.23425508,1.36875,4042,611,40.5,2.083702,1.35625,74.12501,1.55,1.55,99.80923
09/08/2026 11:32:40,12.5,4.76,20.31,3.08,12.5,7.69,10.94,1.54,3.12,21.88,21.88,14.06,11.19,21.88,12.2196,3668,438,1797,359.5,18,1.03058589,1.325,4042,416.5,40.5,1.3282212,1.325,4042,353,40.5,1.0938499,1.3375,4042,206.5,40.5,0.6489706,1.3375,4042,527.5,40.5,1.72315836,1.3375,4042,767,40.5,2.5110507,1.3375,73.87501,1.55,1.55,99.8092
09/08/2026 11:32:42,17.46,3.23,22.22,1.59,8.06,9.52,9.52,0,4.76,22.22,20.63,36.51,12.98,36.51,12.7102594,2345,452,1397,167.5,14,0.443864167,1.34375,1397,270,14,0.8150988,1.34375,1397,264,14,0.736392558,1.34375,4042,284,40.5,0.894604564,1.35,4042,591,40.5,1.99334514,1.35,1797,1134.5,18,3.865418,1.35,73.75001,1.55,1.55,99.80921
09/08/2026 11:32:44,7.69,4.62,15.38,9.38,4.76,12.31,26.15,0,7.69,33.85,9.23,3.03,11.17,33.85,12.9263945,2345,445,1397,208,14,0.5418954,1.35,1397,508,14,1.65520954,1.35,1397,304,14,0.921766162,1.35,1797,506,18,1.84790277,1.35,4042,829,40.5,2.861522,1.35,4042,313.5,40.5,1.005997,1.35,74.37501,1.55,1.55,99.80916
09/08/2026 11:32:46,3.12,1.56,7.81,0,0,7.81,7.81,32.81,12.5,21.88,17.19,25,11.46,32.81,13.1938677,3893,458,3602,185,40.5,0.4598984,1.3625,3586,113.5,40.5,0.2655965,1.3625,4042,129.5,40.5,0.2908323,1.3625,4042,850.5,40.5,3.00945139,1.3625,4042,570.5,40.5,1.92829931,1.3625,4042,898.5,40.5,3.11603165,1.3625,74.75001,1.55,1.55,99.80917
09/08/2026 11:32:48,15.38,7.69,9.23,6.15,4.62,9.23,16.92,25,4.69,21.54,39.06,26.15,15.47,39.06,12.6340685,1954,450,1397,200.5,14,0.572406232,1.31875,1296,140.5,14,0.370176435,1.31875,1397,117.5,14,0.251197129,1.33125,1797,625.5,18,2.21156335,1.33125,1797,476,18,1.42899692,1.33125,4042,1141.5,40.5,3.86543751,1.33125,74.37501,1.55,1.55,99.80918
09/08/2026 11:32:50,26.56,20,23.44,32.81,18.46,24.62,10.94,17.19,18.75,10.94,15.38,14.06,19.43,32.81,16.7638988,2920,726,1797,702,18,1.93052506,1.325,1797,940.5,18,2.54878139,1.325,4042,1066,40.5,2.94691062,1.33125,1797,473,18,1.45163846,1.33125,4042,497,40.5,1.37026453,1.33125,4042,676.5,40.5,2.000871,1.33125,74.00001,1.55,1.55,99.80927
09/08/2026 11:32:52,19.05,3.17,19.05,9.52,9.52,14.29,30.16,22.22,12.7,7.94,14.29,17.46,14.95,30.16,13.1362972,3252,471,3790,145,40.5,0.338129044,1.35,1797,302.5,18,0.9246548,1.35,4042,336,40.5,0.9266218,1.35,1797,992,18,3.52539444,1.35,4042,416,40.5,1.23366809,1.35,4042,637,40.5,2.085449,1.35,74.00001,1.55,1.55,99.809166
09/08/2026 11:32:54,6.15,1.59,6.15,1.54,9.38,6.15,35.38,16.92,12.31,15.62,7.69,15.38,11.19,35.38,12.868185,2739,451,1197,127.5,12.375,0.307465255,1.35625,1135,115.5,12.375,0.26577428,1.35625,1976,293,19.8,0.8964902,1.35625,4042,1046.5,40.5,3.71100068,1.35625,4042,596.5,40.5,2.02192521,1.35625,4042,528.5,40.5,1.64308381,1.35625,74.50001,1.55,1.55,99.80912
09/08/2026 11:32:56,9.52,4.76,7.94,6.35,6.35,33.33,44.44,1.59,4.76,17.46,11.11,17.46,13.76,44.44,12.7728891,2822,448,4042,185,40.5,0.454550564,1.3125,1611,105.5,18,0.23815985,1.3125,1797,740.5,18,2.47919869,1.3125,1397,847.5,14,3.041569,1.3125,4042,368,40.5,1.20327663,1.31875,4042,444,40.5,1.40399814,1.31875,74.37501,1.55,1.55,99.8092
09/08/2026 11:32:58,7.69,6.15,23.08,6.15,1.54,10.77,18.46,33.85,6.15,15.38,20,4.62,12.82,33.85,12.7742844,3664,453,1775,229,18,0.6484907,1.325,4042,482.5,40.5,1.54507053,1.325,4042,151.5,40.5,0.3586311,1.33125,4042,1000,40.5,3.40737915,1.33125,4042,370.5,40.5,1.1342628,1.33125,4042,484,40.5,1.62230635,1.33125,74.37501,1.55,1.55,99.80914
09/08/2026 11:33:00,9.38,1.56,17.19,0,0,17.19,51.56,6.25,6.25,7.81,9.38,4.69,10.94,51.56,12.7537127,3276,460,3933,127,40.5,0.304460943,1.35,4042,368.5,40.5,1.16345751,1.35,1797,394,18,1.24185812,1.35,4042,1176,40.5,4.18304873,1.35,1797,332.5,18,0.8705619,1.35,4042,359.5,40.5,1.1083765,1.34375,74.12501,1.55,1.55,99.80921
09/08/2026 11:33:02,9.38,7.81,12.5,4.69,14.06,19.05,37.5,17.46,10.94,14.06,10.94,6.25,13.72,37.5,12.9507942,3574,466,1235,281.5,12.375,0.731930256,1.31875,4042,208.5,40.5,0.593357,1.325,4042,578,40.5,1.87928784,1.325,4042,1008,40.5,3.61814785,1.325,4042,355.5,40.5,1.01383638,1.325,4042,367,40.5,1.19268167,1.325,74.87501,1.55,1.55,99.80913
09/08/2026 11:33:04,15.38,1.54,6.15,1.56,0,7.69,44.62,19.05,7.69,16.92,18.46,1.54,11.72,44.62,12.9294605,2353,441,1235,249.5,12.375,0.6794936,1.33125,1026,97.5,12.375,0.240999609,1.33125,1976,113,19.8,0.2381606,1.33125,1797,1259.5,18,4.63620472,1.33125,4042,499,40.5,1.72411215,1.33125,4042,429,40.5,1.419866,1.33125,75.00001,1.55,1.55,99.80918
09/08/2026 11:33:06,13.85,7.69,13.85,6.15,30.77,24.62,20,1.54,4.62,9.23,27.69,24.62,15.38,30.77,12.854476,3281,450,1720,198,18,0.460794061,1.31875,4042,251.5,40.5,0.7209153,1.31875,4042,888,40.5,2.97566342,1.31875,1797,232.5,18,0.7889414,1.325,4042,188.5,40.5,0.491193384,1.325,4042,938.5,40.5,3.28700757,1.325,74.37501,1.55,1.55,99.80919
09/08/2026 11:33:08,9.52,6.35,4.76,0,0,4.76,11.11,9.52,6.35,22.22,36.51,25.4,11.38,36.51,12.7326889,1990,464,1235,209,12.375,0.521028757,1.3375,1093,113.5,12.375,0.2689329,1.3375,1976,119.5,19.8,0.246739283,1.3375,1797,475,18,1.65869594,1.3375,1797,608,18,1.89398181,1.33125,4042,1259,40.5,4.281972,1.33125,74.00001,1.55,1.55,99.8092
09/08/2026 11:33:10,4.62,17.19,6.25,6.25,1.56,10.94,16.92,4.62,1.54,23.08,36.92,10.77,11.72,36.92,12.9816475,2345,444,1397,385.5,14,1.2184273,1.33125,1397,212.5,14,0.6157255,1.33125,1397,197.5,14,0.494933516,1.33125,4042,402.5,40.5,1.36635852,1.3375,4042,583,40.5,2.010052,1.3375,1797,885,18,3.03845,1.3375,74.12501,1.55,1.55,99.8091354
09/08/2026 11:33:12,14.29,0,17.46,8.06,1.59,6.35,19.05,16.39,6.35,22.22,33.33,11.11,13.02,33.33,13.3595991,2415,513,1397,181,14,0.460799873,1.3375,1235,496.5,12.375,1.47170019,1.35,1976,160.5,19.8,0.350115657,1.35,1797,670,18,1.71334541,1.35,4042,628,40.5,2.05839682,1.35,4042,940.5,40.5,3.16794562,1.35,75.37501,1.55,1.55,99.80912
09/08/2026 11:33:14,10.77,1.45,6.15,1.54,3.12,7.58,27.69,4.62,6.15,7.69,44.62,10.77,11.01,44.62,12.763814,1971,449,1397,196.5,14,0.497500271,1.35,1397,198.5,14,0.495082974,1.35,1397,201,14,0.560805559,1.35,4042,598.5,40.5,2.07872629,1.35625,1797,334.5,18,0.970732868,1.35625,1797,1166,18,3.95785284,1.35625,74.62501,1.55,1.55,99.809166
09/08/2026 11:33:16,15.62,1.54,6.25,3.12,10.94,17.19,15.62,3.08,7.81,29.69,21.88,1.56,11.19,29.69,13.1281328,2786,458,1397,269,14,0.771547854,1.325,1397,198.5,14,0.478698254,1.325,4042,573,40.5,1.82230437,1.325,1797,380.5,18,1.32373416,1.325,4042,833,40.5,2.87338519,1.325,4042,495.5,40.5,1.59841537,1.325,74.75001,1.55,1.55,99.80919
09/08/2026 11:33:18,14.06,6.25,10.94,1.56,9.38,25,7.81,6.25,7.81,40.62,15.62,6.25,12.63,40.62,13.2649231,2758,471,1397,234.5,14,0.632168531,1.3375,1397,215,14,0.4681158,1.3375,1797,764.5,18,2.57503486,1.3375,3875,259,40.5,0.78648293,1.35,4042,845.5,40.5,2.96389174,1.35,4042,506.5,40.5,1.623724,1.35,74.75001,1.55,1.55,99.80924
09/08/2026 11:33:20,10.94,7.81,23.44,39.06,20.31,12.5,48.44,33.33,3.12,6.25,9.38,14.06,19.05,48.44,16.6163,2920,678,1797,384,18,1.0257802,1.325,4042,850,40.5,2.65511084,1.325,1797,521.5,18,1.51381886,1.33125,1797,1653,18,5.205949,1.33125,4042,238.5,40.5,0.608851969,1.33125,4042,423.5,40.5,1.23391593,1.33125,76.00001,1.55,1.55,99.8092
09/08/2026 11:33:22,14.06,3.12,14.06,6.25,6.25,7.81,4.69,10.94,14.06,37.5,26.56,18.75,13.67,37.5,14.0560179,3668,539,1797,252,18,0.6019324,1.3625,4042,307.5,40.5,0.7470369,1.3625,4042,204.5,40.5,0.4374817,1.36875,4042,372,40.5,1.00424,1.36875,4042,1093.5,40.5,3.65736771,1.36875,4042,1005,40.5,3.28433156,1.36875,75.75001,1.55,1.55,99.80922
09/08/2026 11:33:24,6.25,3.08,12.31,4.62,1.52,10.77,17.19,27.69,4.69,12.5,20.31,18.75,11.64,27.69,12.9252529,2388,448,1235,237,12.375,0.6934606,1.31875,1235,327.5,12.375,0.9525202,1.31875,1976,122.5,19.8,0.260516137,1.31875,1797,912,18,3.29463172,1.31875,4042,333,40.5,1.0169096,1.31875,4042,756,40.5,2.565261,1.31875,74.87501,1.55,1.55,99.809166
09/08/2026 11:33:26,6.15,7.81,6.15,3.12,7.94,7.81,36.92,7.46,4.62,20,14.06,12.31,11.2,36.92,12.9885283,2720,456,1397,260,14,0.7295346,1.33125,1397,206.5,14,0.5788257,1.33125,1397,231.5,14,0.662973642,1.3375,4042,988.5,40.5,3.53534961,1.3375,4042,543.5,40.5,1.73399293,1.3375,4042,503.5,40.5,1.638672,1.3375,74.62501,1.55,1.55,99.80924
09/08/2026 11:33:28,7.81,1.56,12.5,6.25,0,7.81,29.69,0,6.25,25,20.31,21.88,11.59,29.69,12.8247023,2920,445,1797,133.5,18,0.3125447,1.34375,1797,254.5,18,0.7441606,1.34375,4042,134,40.5,0.286530823,1.34375,1797,637.5,18,2.269979,1.34375,4042,585.5,40.5,2.0006876,1.34375,4042,922.5,40.5,3.10291815,1.34375,74.12501,1.55,1.55,99.80921
09/08/2026 11:33:30,14.06,4.69,9.38,6.25,6.25,6.25,18.75,15.62,10.94,48.44,12.5,17.19,14.19,48.44,13.0266953,2786,455,1397,180,14,0.5195538,1.3375,1397,179,14,0.470504433,1.3375,4042,116.5,40.5,0.2612672,1.35,4042,632.5,40.5,2.17341,1.35,4042,1120,40.5,3.99523878,1.35,1797,503.5,18,1.55081093,1.35,74.75001,1.55,1.55,99.8092346
09/08/2026 11:33:32,20,7.46,18.46,18.18,9.23,10.77,13.85,35.38,20,38.46,26.15,10.77,19.06,38.46,13.3864393,3668,491,4042,278.5,40.5,0.7623416,1.35625,1797,520.5,18,1.62208807,1.35625,4042,196,40.5,0.4399158,1.35625,4042,881.5,40.5,3.048486,1.35625,4042,907.5,40.5,3.10597873,1.35625,4042,160.5,40.5,0.3594493,1.35625,75.37501,1.55,1.55,99.80923
09/08/2026 11:33:34,1.56,6.25,12.5,1.59,3.12,7.81,25,4.84,10.94,9.38,23.44,34.38,11.73,34.38,12.9394636,2544,454,1790,158.5,18,0.407390326,1.33125,1797,235,18,0.6625468,1.33125,4042,116,40.5,0.254635185,1.33125,1797,627.5,18,2.2182467,1.33125,1797,424.5,18,1.24956143,1.33125,4042,1164.5,40.5,3.941481,1.33125,74.50001,1.55,1.55,99.8091354
09/08/2026 11:33:36,12.5,4.69,10.94,1.59,4.69,14.06,21.88,20.97,4.69,26.56,9.38,31.25,13.6,31.25,13.0708742,2337,457,1345,136,14,0.325450242,1.35,1397,123,14,0.2855586,1.35,1397,219,14,0.6116972,1.35,1797,828.5,18,2.93566012,1.35,4042,650,40.5,2.2136693,1.35,4042,785,40.5,2.54977059,1.35,74.50001,1.55,1.55,99.8092
09/08/2026 11:33:38,13.64,0,7.58,1.52,13.64,7.58,3.03,28.79,12.12,15.15,15.15,27.27,12.12,28.79,12.8969183,2732,455,1235,182.5,12.375,0.4724097,1.31875,1235,141.5,12.375,0.331406683,1.31875,4042,327.5,40.5,1.009121,1.33125,1797,766,18,2.59185934,1.33125,4042,479.5,40.5,1.62691176,1.33125,4042,833.5,40.5,2.769204,1.33125,74.50001,1.55,1.55,99.80919
09/08/2026 11:33:40,4.76,1.59,7.94,0,0,6.35,31.75,38.1,3.17,34.92,1.59,0,10.85,38.1,13.3425388,2391,444,1276,125.5,14,0.323040426,1.34375,1212,115.5,12.375,0.283352017,1.34375,1976,169.5,19.8,0.385994762,1.34375,4042,1422.5,40.5,5.264404,1.34375,1797,755,18,2.75556159,1.34375,4042,76.5,40.5,0.170427024,1.34375,75.25001,1.55,1.55,99.80923
09/08/2026 11:33:42,9.38,1.54,26.56,7.81,7.81,9.38,15.62,1.59,1.56,10.94,15.62,31.25,11.59,31.25,12.920413,3200,453,1234,145.5,12.375,0.342451066,1.31875,4042,620.5,40.5,1.992224,1.33125,4042,355,40.5,1.07373118,1.33125,4042,296,40.5,1.00634491,1.33125,4042,431.5,40.5,1.33475459,1.33125,1797,868,18,2.97548318,1.33125,74.37501,1.55,1.55,99.80919
09/08/2026 11:33:44,6.35,11.48,11.29,1.67,20.97,25.81,23.81,6.56,1.59,7.94,11.11,12.7,11.77,25.81,12.8715754,2380,444,1235,203,12.375,0.575113535,1.31875,1190,108,12.375,0.258433759,1.3375,1976,961,19.8,3.26220369,1.3375,1797,566,18,1.99814188,1.3375,4042,302.5,40.5,0.8284821,1.3375,4042,524,40.5,1.77422738,1.3375,74.50001,1.55,1.55,99.8091354
09/08/2026 11:33:46,7.81,7.81,7.81,4.69,9.38,10.77,34.38,7.81,4.76,20.63,6.25,20.31,11.87,34.38,11.5916395,2014,442,1797,293.5,18,0.849794269,1.325,1797,196,18,0.5448109,1.325,4042,346.5,40.5,1.05088568,1.325,1235,835,12.375,3.02852821,1.33125,1235,526.5,12.375,1.79174972,1.33125,1976,455.5,19.8,1.52595437,1.33125,74.37501,1.55,1.55,99.8092041
09/08/2026 11:33:48,10.77,6.15,9.09,7.46,0,6.25,23.08,8.57,10.61,15.15,29.23,21.54,12.33,29.23,12.5668383,2635,437,1976,307.5,19.8,0.939676762,1.34375,1976,275.5,19.8,0.7933012,1.34375,1976,108.5,19.8,0.2588705,1.3375,1797,603.5,18,2.10339451,1.3375,4042,341.5,40.5,1.0715878,1.3375,4042,986.5,40.5,3.410912,1.3375,73.87501,1.55,1.55,99.80918
09/08/2026 11:33:50,27.69,16.92,27.69,35.38,32.31,16.92,32.31,12.31,24.62,13.85,46.15,23.08,25.77,46.15,17.5430946,3678,978,4017,726.5,40.25,1.82407284,1.34375,4017,1162,40.25,3.30218816,1.34375,1959,865,19.625,2.195531,1.2375,4017,872,40.25,2.23214626,1.275,4017,829,40.25,2.124486,1.2375,4042,1412.5,40.5,3.82150483,1.3375,74.37501,1.55,1.55,99.80923
09/08/2026 11:33:52,60.32,39.68,57.14,46.03,52.38,38.1,36.51,53.97,57.14,39.68,66.67,31.75,48.28,66.67,25.7576866,3992,1871,3992,1816.5,40,4.250553,1.31875,3992,2167,40,5.17995071,1.31875,3992,1768,40,4.08584166,1.31875,3992,1973,40,4.732104,1.31875,3992,1785,40,4.147173,1.31875,3992,1716.5,40,3.963984,1.31875,76.25001,1.55,1.55,99.80921
09/08/2026 11:33:54,33.85,29.23,24.62,46.15,41.54,20,46.15,47.69,27.69,26.15,20,49.23,34.36,49.23,20.56608,3273,1146,4017,885.5,40.25,2.45444584,1.35625,4017,1110.5,40.25,3.28403544,1.35625,1785,1056.5,17.88889,2.785917,1.35,4017,1728.5,40.25,4.408356,1.35,1785,865.5,17.88889,2.39674926,1.35,4017,1227,40.25,3.579916,1.35,79.125,1.55,1.55,99.8092041
09/08/2026 11:33:56,32.81,20.31,54.69,39.06,37.5,45.31,40.62,51.56,21.88,23.44,20.31,7.81,32.94,54.69,21.4453659,3622,1318,1774,1078.5,17.7777786,2.61557221,1.35,3992,1779,40,4.20969248,1.35,3992,1581.5,40,3.69579315,1.33125,3992,1952.5,40,4.97268057,1.33125,3992,853.5,40,2.18030143,1.33125,3992,662.5,40,1.70762408,1.33125,80.75,1.55,1.55,99.80916
09/08/2026 11:33:58,35.94,23.44,48.44,52.31,50,37.5,54.69,28.12,20.31,32.81,31.25,29.69,37.04,54.69,22.7452526,3130,1518,3918,1112,39.25,2.45711517,1.3,3768,2118,37.75,4.941204,1.23125,3768,1791.5,37.75,3.974041,1.23125,3768,1725,37.75,4.24567842,1.23125,1884,1121.5,18.875,2.8031435,1.23125,1675,1240,16.7777786,3.21182513,1.23125,81.875,1.55,1.55,99.80919
09/08/2026 11:34:00,10.94,1.56,35.94,21.88,37.5,40.62,51.56,39.06,26.56,23.44,21.88,32.81,28.65,51.56,19.41011,3645,1146,4017,224.5,40.25,0.5148928,1.34375,4017,1088.5,40.25,2.71167779,1.34375,1785,1539.5,17.88889,3.787368,1.34375,4017,1767,40.25,4.8170743,1.34375,4017,1046,40.25,2.549154,1.35,4017,1207.5,40.25,3.60360122,1.35,83.25,1.55,1.55,99.809166
09/08/2026 11:34:02,40.62,31.25,42.19,34.38,34.38,35.94,42.19,26.56,17.19,21.88,18.75,14.06,29.95,42.19,20.0098915,4042,1197,4042,1449.5,40.5,3.82974052,1.35625,4042,1505.5,40.5,3.63084626,1.375,4042,1380,40.5,3.45284653,1.375,4042,1430,40.5,3.65631986,1.375,4042,771.5,40.5,1.86487055,1.375,4042,647.5,40.5,1.66386139,1.375,83.5,1.55,1.55,99.80919
09/08/2026 11:34:04,18.75,18.75,29.69,29.69,28.12,29.69,20.31,12.5,28.12,34.38,40.62,35.94,27.21,40.62,19.0692577,4017,1028,4017,614.5,40.25,1.64543319,1.34375,4017,1082.5,40.25,2.78666329,1.34375,4017,1162.5,40.25,3.02537918,1.34375,4017,667.5,40.25,1.831279,1.34375,4017,1176.5,40.25,3.28686357,1.34375,4017,1462.5,40.25,3.844376,1.34375,83.375,1.55,1.55,99.80915
