source,stimulus,smiles,raw_labels,reason
goodscents,118-56-9,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,menthol;mild,no_mapped_labels
goodscents,121-79-9,CCCOC(=O)c1cc(O)c(O)c(O)c1,bland,no_mapped_labels
goodscents,123-62-6,CCC(=O)OC(=O)CC,acetaldehyde,no_mapped_labels
goodscents,124-68-5,CC(C)(N)CO,ammonia;mild,no_mapped_labels
goodscents,124071-42-7,C=CCCCCCCC/C=C/CC#N,mandarin,no_mapped_labels
goodscents,124918-65-6,CCCCC[C@@H](C)CCC(=O)O,sweaty,no_mapped_labels
goodscents,128386-31-2,CCCCC1OC1C=CC=O,metal,no_mapped_labels
goodscents,1309389-73-8,COc1ccc(/C=C/C(=O)NCCc2ccc(OC)c(OC)c2)cc1OC,cooling,no_mapped_labels
goodscents,131671-56-2,C=CCC(CC)C(=O)CC,fish,no_mapped_labels
goodscents,13211-15-9,CC1(C)C(=O)C2CCC1C2,camphor,no_mapped_labels
goodscents,132735-95-6,CCCC(CC)CCC(=O)O,goaty,no_mapped_labels
goodscents,1338-41-6,CCCCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,bland,no_mapped_labels
goodscents,134346-43-3,CCCCCCC1OC1C=CC=O,metal,no_mapped_labels
goodscents,134452-45-2,CCCC1OC1C=CC=O,metal,no_mapped_labels
goodscents,1407-14-3,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,faint,no_mapped_labels
goodscents,141-04-8,CC(C)COC(=O)CCCCC(=O)OCC(C)C,estery;mild,no_mapped_labels
goodscents,142-75-6,CCCCCCCCCCCCCCCCCC(=O)OCC(C)O,bland,no_mapped_labels
goodscents,142-91-6,CCCCCCCCCCCCCCCC(=O)OC(C)C,bland,no_mapped_labels
goodscents,14259-46-2,CC1OC(OCC2OC(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)C(O)C(O)C2O)C(O)C(O)C1O,bland,no_mapped_labels
goodscents,144-62-7,O=C(O)C(=O)O,bland,no_mapped_labels
goodscents,14575-74-7,CC12CCC(C1)C(C)(C)[C@@H]2O,camphor,no_mapped_labels
goodscents,1515-95-3,CCc1ccc(OC)cc1,anise,no_mapped_labels
goodscents,1523-19-9,COc1ccc(OC(=O)c2ccccc2)cc1,,no_mapped_labels
goodscents,15356-60-2,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,mentholic,no_mapped_labels
goodscents,156324-82-2,CC(O)CC1(C)CCC(C(C)C)C(OC(=O)OC2CC(C)(CC(C)O)CCC2C(C)C)C1,menthol,no_mapped_labels
goodscents,15987-00-5,CCCCc1nccnc1C,anise;licorice,no_mapped_labels
goodscents,178900-23-7,CCCCCCCCCCC(CCCCCC)COCC(C)OCC(C)OCCOC(C)=O,bland,no_mapped_labels
goodscents,18776-92-6,CCC/C=C/CCC(=O)O,greasy,no_mapped_labels
goodscents,19041-15-7,C[C@H]1CCC(=O)O1,faint,no_mapped_labels
goodscents,2052-14-4,CCCCOC(=O)c1ccccc1O,ethyl;benzoate;clover;harsh,no_mapped_labels
goodscents,2084-19-7,CCCC(C)S,sulfury;gassy,no_mapped_labels
goodscents,2197-63-9,CCCCCCCCCCCCCCCCOP(=O)(O)OCCCCCCCCCCCCCCCC,bland,no_mapped_labels
goodscents,22014-48-8,CCOC(=O)CCCSC,sulfury,no_mapped_labels
goodscents,2217-60-9,Cc1cc(O)c(C(C)C)cc1O,fennel,no_mapped_labels
goodscents,2230-70-8,CC1CC(C)(C)CCC1=O,thujone,no_mapped_labels
goodscents,2243-33-6,CC1=CC[C@@H](C(C)C)C=C1,dill,no_mapped_labels
goodscents,22463-19-0,CC(=O)C1=CC(C)(C)CCC1,oil;armoise,no_mapped_labels
goodscents,25168-73-4,CCCCCCCCCCCCCCCCCC(=O)O[C@@]1([C@@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,bland,no_mapped_labels
goodscents,25231-21-4,CCCCCCCCCCCCCCCCCCOCC(C)O,bland,no_mapped_labels
goodscents,25339-09-7,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,bland,no_mapped_labels
goodscents,25496-72-4,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)CO,bland,no_mapped_labels
goodscents,25679-28-1,C/C=C\c1ccc(OC)cc1,anise,no_mapped_labels
goodscents,26942-95-0,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C,bland,no_mapped_labels
goodscents,27195-16-0,CCCCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@]1(OC(=O)CCCCCCCCCCCCCCCCC)[C@@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,bland,no_mapped_labels
goodscents,27214-38-6,CCCCCCCCCCCCCC(=O)OCC(O)CO,bland,no_mapped_labels
goodscents,28060-90-4,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(C)=O)OC(C)=O,acetic;mild,no_mapped_labels
goodscents,287-92-3,C1CCCC1,petroleum,no_mapped_labels
goodscents,29710-25-6,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(CC)CCCC,bland,no_mapped_labels
goodscents,2986-53-0,CCOC1CCCCCCCCCCC1,oil;vetiver,no_mapped_labels
goodscents,29957-43-5,C=CC(C)(O)CC=CC(=C)C,mouldy,no_mapped_labels
goodscents,30364-38-6,Cc1ccc2c(c1)C=CCC2(C)C,licorice,no_mapped_labels
goodscents,30399-84-9,CC(C)CCCCCCCCCCCCCCC(=O)O,bland,no_mapped_labels
goodscents,30673-36-0,CCCCCCCCCC(=O)OCCCC,whiskey,no_mapped_labels
goodscents,31331-53-0,CSC(C)S,thiamine,no_mapped_labels
goodscents,3234-85-3,CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,bland,no_mapped_labels
goodscents,32449-92-6,O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,mentholic,no_mapped_labels
goodscents,35117-86-3,C[C@H]1CC[C@@H](C(C)(C)S)C(=O)C1,rubbery,no_mapped_labels
goodscents,3539-43-3,CCCCCCCCCCCCCCCCOP(=O)(O)O,bland,no_mapped_labels
goodscents,3569-36-6,C=CCC1=C(C)CCC1=O,lovage;fenugreek,no_mapped_labels
goodscents,362467-67-2,CC(C)CCc1ccc2c(c1)OCC(=O)CO2,marine,no_mapped_labels
goodscents,38427-78-0,C=C(C)[C@H]1CCC2=CC(=O)C[C@H](C)[C@@]2(C)C1,terpentine,no_mapped_labels
goodscents,4049-38-1,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,bland,no_mapped_labels
goodscents,41669-30-1,CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,bland,no_mapped_labels
goodscents,4313-02-4,CC/C=C\C=C\C=O,fried,no_mapped_labels
goodscents,462-18-0,CCCCCCC(=O)CCCCCC,may;blossom,no_mapped_labels
goodscents,464-15-3,CC12CCC(CC1)C2(C)C,borneol;mild,no_mapped_labels
goodscents,465-28-1,CC1=CCC2(C)CC[C@H](C(C)C)C2(O)CC1,pleasant;mild,no_mapped_labels
goodscents,473-13-2,C=C(C)C1CCC2(C)CCC=C(C)C2C1,amber,no_mapped_labels
goodscents,491-02-1,CC1CCC(C(C)C)C(O)C1,mentholic,no_mapped_labels
goodscents,506-14-9,O=C(O)CCCCC/C=C/CCCCCCCCO,amber,no_mapped_labels
goodscents,51115-77-6,CCC(CC)(CC)C(=O)NC(C)(C)CO,cooling,no_mapped_labels
goodscents,514-10-3,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,acetic;mild,no_mapped_labels
goodscents,52-90-4,N[C@@H](CS)C(=O)O,sulfury,no_mapped_labels
goodscents,526214-70-0,C=C[C@@]1(C)CC[C@H]([C@@H](C)C=O)O1,flowery,no_mapped_labels
goodscents,526214-71-1,C=C[C@@]1(C)CC[C@H]([C@H](C)C=O)O1,flowery,no_mapped_labels
goodscents,528-43-8,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,bitter,no_mapped_labels
goodscents,532-87-6,C=C(CCC=C(C)C)C1CC=C(CCC=C(C)C)CC1,almost odorless,no_mapped_labels
goodscents,5329-14-6,NS(=O)(=O)O,bland,no_mapped_labels
goodscents,53584-56-8,CC(=O)[C@@H](C)O,,no_mapped_labels
goodscents,53823-06-6,C[C@H]1CCC[C@]2(C)CC[C@@]3(C(C)(C)O)C[C@@]123,algae,no_mapped_labels
goodscents,54290-12-9,CCCCCC/C=C/CCCCCCCCC,alkane,no_mapped_labels
goodscents,546-80-5,CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,cedar;thujonic,no_mapped_labels
goodscents,56-86-0,N[C@@H](CCC(=O)O)C(=O)O,yeasty;bread baked,no_mapped_labels
goodscents,563-80-4,CC(=O)C(C)C,camphor,no_mapped_labels
goodscents,565-62-8,C/C=C(\C)C(C)=O,sweaty,no_mapped_labels
goodscents,56797-44-5,CC/C=C\C/C=C\C/C=C\CCCCCCC=O,seaweed,no_mapped_labels
goodscents,57-88-5,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,bland,no_mapped_labels
goodscents,5724-81-2,C1=NCCC1,seafood;shrimp;ammoniacal,no_mapped_labels
goodscents,577969-21-2,CCC[C@@H](S)CC=O,sulfury;rubber,no_mapped_labels
goodscents,579-94-2,CCOCC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,moldy,no_mapped_labels
goodscents,585-84-2,O=C(O)/C=C(/CC(=O)O)C(=O)O,bland,no_mapped_labels
goodscents,589-90-2,CC1CCC(C)CC1,petroleum,no_mapped_labels
goodscents,59231-37-7,CC(C)CCCCCCCCCCOC(=O)CC(C)CC(C)(C)C,bland,no_mapped_labels
goodscents,59587-44-9,CCCCCCCCC(=O)OCC(CC)CCCC,bland,no_mapped_labels
goodscents,599-04-2,CC1(C)COC(=O)[C@@H]1O,candy;cotton,no_mapped_labels
goodscents,60-35-5,CC(N)=O,bland,no_mapped_labels
goodscents,60763-44-2,C=CC(C)(CCC=C(C)C)OC,linalool,no_mapped_labels
goodscents,61197-13-5,Cc1cc(SSCCC(C)C)c(C)o1,sulfury;rubber;liver,no_mapped_labels
goodscents,621-27-2,CCCc1cccc(O)c1,truffle,no_mapped_labels
goodscents,62125-22-8,CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,bland,no_mapped_labels
goodscents,62488-24-8,CCCCCCCCCCCCCC(=O)OCCC(C)C,fragrant,no_mapped_labels
goodscents,627-51-0,C=CSC=C,liquid;evil;smelling,no_mapped_labels
goodscents,629-80-1,CCCCCCCCCCCCCCCC=O,cardboard,no_mapped_labels
goodscents,629-92-5,CCCCCCCCCCCCCCCCCCC,bland,no_mapped_labels
goodscents,63793-60-2,CCCCCCCCCCCCCCOCCCO,bland,no_mapped_labels
goodscents,63967-52-2,CCCCCC(C#N)=C1CCC(C)CC1,nerol;jasmin;nitrile;oxide,no_mapped_labels
goodscents,645-59-0,N#CCCc1ccccc1,nasturtium;powerful,no_mapped_labels
goodscents,6541-58-8,CC12CC(CC1=O)C(C)(C)C2,camphor,no_mapped_labels
goodscents,65909-91-3,CCCCC/C=C\C=C/C=O,seaweed,no_mapped_labels
goodscents,6698-82-0,COc1ccc(OC(=O)C(C)C)cc1,,no_mapped_labels
goodscents,68127-22-0,CC1CCC(C(C)C)C(OC(=O)C2CCC(=O)N2)C1,cooling,no_mapped_labels
goodscents,68171-33-5,CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C,bland,no_mapped_labels
goodscents,68239-42-9,CO[C@@H]1O[C@H](COCCO)C(OCCO)C(OCCO)C1OCCO,bland,no_mapped_labels
goodscents,68411-97-2,CNCC(=O)O,bland,no_mapped_labels
goodscents,68489-14-5,CCOC(=O)CNC(=O)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,mentholic;cooling,no_mapped_labels
goodscents,68541-50-4,CCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,bland,no_mapped_labels
goodscents,6920-22-5S,CCCC[C@H](O)CO,bland,no_mapped_labels
goodscents,69364-63-2,CCCCCCCCCCCCCCCCOCCO,bland,no_mapped_labels
goodscents,72258-83-4,CC(C)(C)C1CCC2(CCC(=O)O2)CC1,woody-lactone;urine,no_mapped_labels
goodscents,73435-61-7,CC1CCC(C(C)C)C(C(=O)NC2CC2)C1,cooling,no_mapped_labels
goodscents,7360-38-5,CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,bland,no_mapped_labels
goodscents,74-79-3,NC(N)=NCCC[C@H](N)C(=O)O,faint,no_mapped_labels
goodscents,74410-10-9,CC1=C[C@@H]2OC[C@@H](C)[C@@H]2CC1,dill,no_mapped_labels
goodscents,74775-06-7,CCCCCCCCCCCCCCOCCCOC(=O)CC,bland,no_mapped_labels
goodscents,75-65-0,CC(C)(C)O,camphor,no_mapped_labels
goodscents,75-66-1,CC(C)(C)S,sulfury,no_mapped_labels
goodscents,7651-02-7,CCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C,bland,no_mapped_labels
goodscents,7664-38-2,O=P(O)(O)O,bland,no_mapped_labels
goodscents,7664-41-7,N,ammoniacal,no_mapped_labels
goodscents,77-89-4,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,almost odorless,no_mapped_labels
goodscents,77311-02-5,CC1=NC(C)OC1,boiled;beef,no_mapped_labels
goodscents,7783-06-4,S,egg;rotten,no_mapped_labels
goodscents,78-40-0,CCOP(=O)(OCC)OCC,mild;cider,no_mapped_labels
goodscents,78183-56-9,CC(=O)[C@H](C)O,,no_mapped_labels
goodscents,79-63-0,CC(C)=CCCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,bland,no_mapped_labels
goodscents,818-49-5,CCC(C)CCCO,sweaty,no_mapped_labels
goodscents,84-61-7,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,plastic;mild,no_mapped_labels
goodscents,84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,faint,no_mapped_labels
goodscents,84605-08-3,CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,bland,no_mapped_labels
goodscents,847565-09-7,CC1CCC(C(C)C)C(C(=O)NCCc2ccccn2)C1,cooling,no_mapped_labels
goodscents,9002-92-0,CCCCCCCCCCCCOCCO,bland,no_mapped_labels
goodscents,9002-93-1,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,bland,no_mapped_labels
goodscents,9003-13-8,CCCCOCC(C)OCC(C)O,bland,no_mapped_labels
goodscents,9004-98-2,CCCCCCCC/C=C\CCCCCCCCOCCO,bland,no_mapped_labels
goodscents,9005-00-9,CCCCCCCCCCCCCCCCCCOCCO,bland,no_mapped_labels
goodscents,9035-85-2,CCCCCCCCCCCCCCCCOCCCO,bland,no_mapped_labels
goodscents,94-36-0,O=C(OOC(=O)c1ccccc1)c1ccccc1,benzaldehyde;mild,no_mapped_labels
goodscents,94089-02-8,CC(S)c1cccs1,strong;mercaptan,no_mapped_labels
goodscents,95-47-6,Cc1ccccc1C,geranium,no_mapped_labels
goodscents,96-08-2,CC1OC1C1CCC2(C)OC2C1,mentholic,no_mapped_labels
goodscents,97-63-2,C=C(C)C(=O)OCC,acrylate,no_mapped_labels
goodscents,97-78-9,CCCCCCCCCCCC(=O)N(C)CC(=O)O,bland,no_mapped_labels
goodscents,NF0561,Cc1cc(O)c(C)c(O)c1C#N,oakmoss,no_mapped_labels
goodscents,NF0565,CC1C(=O)CC(C)C(C#N)C1=O,oakmoss,no_mapped_labels
goodscents,NF0640,C=C1CCCC(C)(C)[C@H]1C(=O)/C=C/C,camphor;licorice,no_mapped_labels
goodscents,NF0641,C=C1CCCC(C)(C)[C@@H]1C(=O)/C=C/C,nice;damascone;camphor,no_mapped_labels
goodscents,NF0645,CCCC[C@@H](CC)CCC(=O)O,goaty;muttony,no_mapped_labels
goodscents,NF0648,C=C(C)CCC[C@@H](C)[C@]1(O)CC=C(C)CC1,flowery;lily-of-the-valley,no_mapped_labels
goodscents,NF0649,C=C(C)CCC[C@H](C)[C@@]1(O)CC=C(C)CC1,flowery;lily-of-the-valley,no_mapped_labels
goodscents,NF0825,CC[C@H](C)CCC=O,bland,no_mapped_labels
arctander,1,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,,no_mapped_labels
arctander,27,CC(=O)Cc1ccc2ccccc2n1,,no_mapped_labels
arctander,42,CC(=O)c1c(C)cc(C)cc1C,,no_mapped_labels
arctander,44,CC(=O)C1C(=O)C=C(C)OC1=O,,no_mapped_labels
arctander,50,COc1cc(C(OC)OC)ccc1OC(C)=O,,no_mapped_labels
arctander,51,O=C(O)C=C(CC(=O)O)C(=O)O,,no_mapped_labels
arctander,52,C=CC=O,,no_mapped_labels
arctander,53,C=CC(=O)O,,no_mapped_labels
arctander,54,O=C(O)CCCCC(=O)O,,no_mapped_labels
arctander,61,CCC1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,musky,no_mapped_labels
arctander,73,C=CCC#N,,no_mapped_labels
arctander,87,C=CCS,,no_mapped_labels
arctander,94,C=CCSSCCC,,no_mapped_labels
arctander,98,C=CCN=C=S,,no_mapped_labels
arctander,103,C=CCC(=O)c1ccc(O)c(OC)c1,vanillin,no_mapped_labels
arctander,104,C=C1CCCC(C)(C)[C@@H]1CC/C(C)=C/CCC1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O,,no_mapped_labels
arctander,106,O=C1CCCCC/C=C\CCCCCCCCO1,ambre;musky,no_mapped_labels
arctander,107,O=C1CCCC/C=C\CCCCCCCCCO1,ambre;musky,no_mapped_labels
arctander,108,CC1(O)CCC2C(=CCCC2(C)C)C1,ambre,no_mapped_labels
arctander,110,CCC(N)C(=O)O,caramelic,no_mapped_labels
arctander,111,CC(C)(N)C(=O)O,,no_mapped_labels
arctander,125,CCCCCO,,no_mapped_labels
arctander,128,CCCCCN,,no_mapped_labels
arctander,194,CCCCCS,gassy;sulfuraceous,no_mapped_labels
arctander,203,CC(C)CCOC(=O)C(=O)OCCC(C)C,,no_mapped_labels
arctander,212,CCCCCOC(=O)c1ccccc1C(=O)[O-],,no_mapped_labels
arctander,220,CCCCCCCCCCCCCCCCCC(=O)OCCCCC,,no_mapped_labels
arctander,234,CC12C=CCC1C1CCC3CC(O)CCC3(C)C1CC2,,no_mapped_labels
arctander,235,CC12C=CCC1C1CCC3CC(=O)CCC3(C)C1CC2,,no_mapped_labels
arctander,240,Nc1ccccc1,,no_mapped_labels
arctander,242,CCOC(OCC)c1ccc(OC)cc1,,no_mapped_labels
arctander,245,COc1ccc(C(=O)O)cc1,,no_mapped_labels
arctander,264,C/C=C\c1cc(OC)c(OC)cc1OC,,no_mapped_labels
arctander,266,O=C1C(O)=C(O)OC1C(O)CO,,no_mapped_labels
arctander,272,c1ccc(C2OCCO2)cc1,,no_mapped_labels
arctander,274,CC1COC(c2ccccc2)O1,,no_mapped_labels
arctander,276,O=C(O)c1ccccc1,,no_mapped_labels
arctander,277,O=C(c1ccccc1)C(O)c1ccccc1,,no_mapped_labels
arctander,278,c1ccccc1,gassy,no_mapped_labels
arctander,279,N#Cc1ccccc1,,no_mapped_labels
arctander,290,OCc1ccccc1,,no_mapped_labels
arctander,307,c1ccc(CSSCc2ccccc2)cc1,caramelic,no_mapped_labels
arctander,315,ON=Cc1ccc(Cc2ccccc2)o1,,no_mapped_labels
arctander,325,SCc1ccccc1,,no_mapped_labels
arctander,330,CCCCCCCCCCCCCC(=O)OCc1ccccc1,,no_mapped_labels
arctander,341,O=C([O-])CCC(=O)OCc1ccccc1,,no_mapped_labels
arctander,343,O=C(CS)OCc1ccccc1,,no_mapped_labels
arctander,361,CC1(C)C2CCC1(C)C(OC(=O)Cc1ccccc1)C2,,no_mapped_labels
arctander,364,CC1(C)C2CCC1(C)C(OC(=O)c1ccccc1O)C2,powdery,no_mapped_labels
arctander,380,CC(C)(c1c(Cl)c(Cl)c(O)c(Cl)c1Cl)c1c(Cl)c(Cl)c(O)c(Cl)c1Cl,,no_mapped_labels
arctander,385,CC(=O)CC(=O)OCC(C)C,,no_mapped_labels
arctander,390,CC(C)CO,,no_mapped_labels
arctander,394,CCC(C)(C)C(=O)C(C)(C)C,camphoraceous,no_mapped_labels
arctander,421,CCCCCCCC(=O)OCCCC,,no_mapped_labels
arctander,428,CCCCOC(=O)CC(O)(CC(=O)[O-])C(=O)[O-],,no_mapped_labels
arctander,430,COc1cc(C)ccc1C(C)(C)C,leather,no_mapped_labels
arctander,431,CCCCN=C=O,,no_mapped_labels
arctander,448,CC(O)CCO,,no_mapped_labels
arctander,449,CCOc1c([N+](=O)[O-])cc(C=O)cc1C(C)(C)C,musky,no_mapped_labels
arctander,470,CCCCOC(=O)c1ccc(O)cc1,,no_mapped_labels
arctander,471,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,no_mapped_labels
arctander,473,CC(C)/C=C1/OC(=O)C2=CC=CCC21,,no_mapped_labels
arctander,478,CC(C)Cc1c[nH]c2ccccc12,,no_mapped_labels
arctander,488,CCCCS,sulfuraceous,no_mapped_labels
arctander,516,CC(C)COC(=O)c1ccccc1C(=O)[O-],,no_mapped_labels
arctander,531,CC(C)(C)OC(=O)CCCCCCCCC(=O)OC(C)(C)C,musky,no_mapped_labels
arctander,533,CCCCOC(=O)CCC(=O)[O-],musky,no_mapped_labels
arctander,534,CCCCOC(=O)C(O)C(O)C(=O)[O-],,no_mapped_labels
arctander,543,CCCCC(=O)OCC(C)C,,no_mapped_labels
arctander,546,Cc1cc(O)cc(C)c1C(C)(C)C,tarry;leather,no_mapped_labels
arctander,551,CC(C)C(=O)OC(=O)C(C)C,,no_mapped_labels
arctander,558,Cn1c(=O)c2c(ncn2C)n(C)c1=O,,no_mapped_labels
arctander,570,CC1=CCC2C(C1)C2(C)C,,no_mapped_labels
arctander,572,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,,no_mapped_labels
arctander,604,O=C(O)C=CC=Cc1ccc2c(c1)OCO2,,no_mapped_labels
arctander,605,O=C(O)C=CC=Cc1ccc2c(c1)OCO2,,no_mapped_labels
arctander,608,Cc1c(Cl)c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],musky,no_mapped_labels
arctander,615,CC(C)C12CCC(C)(CC1)O2,camphoraceous,no_mapped_labels
arctander,616,CC12CCC(CC1)C(C)(C)O2,camphoraceous,no_mapped_labels
arctander,621,CC1CC(C)(C)OC(C=Cc2ccccc2)O1,,no_mapped_labels
arctander,625,O=C(C=Cc1ccccc1)N1CCCCC1,,no_mapped_labels
arctander,657,O=C(O)CC(O)(CC(=O)O)C(=O)O,,no_mapped_labels
arctander,703,COc1cc(/C=C/CO)ccc1O,,no_mapped_labels
arctander,736,Cc1ccccc1O,,no_mapped_labels
arctander,737,Cc1cccc(OC(=O)Cc2ccccc2)c1,narcissus;lily,no_mapped_labels
arctander,738,Cc1ccccc1OC(=O)Cc1ccccc1,,no_mapped_labels
arctander,739,Cc1ccc(OC(=O)Cc2ccccc2)cc1,lily;hyacinth,no_mapped_labels
arctander,746,CC=CCN=C=S,,no_mapped_labels
arctander,760,CC1=CCCC(C)(C)C1C=O,,no_mapped_labels
arctander,766,CC1=CCCC(C)(C)C1C=CC(=O)CC(C)C,,no_mapped_labels
arctander,776,OC1CCCCC1,camphoraceous,no_mapped_labels
arctander,800,O=C([O-])C(=O)OC1CCCCC1,,no_mapped_labels
arctander,809,C=C1CCCC(C)(C)C1CCO,ambre,no_mapped_labels
arctander,810,OC1CCCCCCCCCCCCCC1,musky,no_mapped_labels
arctander,813,O=C1CCCCCCCCCCCCCC1,musky,no_mapped_labels
arctander,831,O=C1CC(=O)OCCCCCCCCCCO1,musky,no_mapped_labels
arctander,832,O=C1OCCCCCCCCCCOC1=O,musky,no_mapped_labels
arctander,853,CCCCCCCCCCC1CCOC1=O,,no_mapped_labels
arctander,870,C#CC(C)(O)CCC=C(C)C,,no_mapped_labels
arctander,873,CC(=O)OC(C(C)=O)C(O)CO,,no_mapped_labels
arctander,874,C=CCSSCC=C,,no_mapped_labels
arctander,875,C=CCOCC=C,,no_mapped_labels
arctander,876,C=CCSCC=C,,no_mapped_labels
arctander,887,COc1cc(C=O)c(C(C)(C)C)cc1C(C)(C)C,ambre;musky,no_mapped_labels
arctander,894,CC=CCSCC=CC,,no_mapped_labels
arctander,900,CCOC(=O)C(=CCC(C)CCC=C(C)C)C(=O)OCC,,no_mapped_labels
arctander,903,COCCOCCOC,,no_mapped_labels
